generation,rank,safety,creativity,satisfaction
0,2,0.64505,0.49869,0.32569
0,2,0.76015,0.52975,0.28989
0,2,0.75661,0.52482,0.31625
0,6,0.50617,0.10335,0.02938
0,3,0.54376,0.51304,0.13551
0,5,0.60582,0.2554,0.04007
0,5,0.35228,0.43767,0.08009
0,3,0.45063,0.53825,0.19388
0,3,0.709,0.50873,0.26568
0,2,0.56203,0.54787,0.27321
0,4,0.6342,0.47991,0.26564
0,1,0.73527,0.55075,0.34126
0,1,0.8524,0.5468,0.3305
0,3,0.71054,0.47012,0.20159
0,2,0.77212,0.48719,0.14631
0,2,0.71915,0.54089,0.27872
0,4,0.44029,0.52022,0.12798
0,6,0.49659,0.22263,0.03015
0,1,0.7461,0.51449,0.33657
0,5,0.51083,0.19361,0.04547
1,1,0.73527,0.55075,0.34126
1,1,0.8524,0.5468,0.3305
1,1,0.7461,0.51449,0.33657
1,1,0.63975,0.58344,0.26974
1,1,0.76804,0.56649,0.29974
1,1,0.58865,0.62047,0.34754
1,1,0.59892,0.5526,0.3389
1,1,0.69522,0.55884,0.33742
1,1,0.76499,0.56218,0.33558
1,2,0.76015,0.52975,0.28989
1,2,0.75661,0.52482,0.31625
1,2,0.71915,0.54089,0.27872
1,2,0.81774,0.50485,0.31036
1,2,0.5236,0.56771,0.34652
1,2,0.66389,0.56538,0.28522
1,2,0.75362,0.53896,0.33256
1,3,0.64505,0.49869,0.32569
1,3,0.56203,0.54787,0.27321
1,3,0.77212,0.48719,0.14631
1,3,0.62226,0.55291,0.22302
2,1,0.8524,0.5468,0.3305
2,1,0.58865,0.62047,0.34754
2,1,0.83888,0.60598,0.35462
2,2,0.73527,0.55075,0.34126
2,2,0.7461,0.51449,0.33657
2,2,0.63975,0.58344,0.26974
2,2,0.76804,0.56649,0.29974
2,2,0.59892,0.5526,0.3389
2,2,0.69522,0.55884,0.33742
2,2,0.76499,0.56218,0.33558
2,2,0.81774,0.50485,0.31036
2,2,0.5236,0.56771,0.34652
2,2,0.72398,0.57808,0.27769
2,2,0.71266,0.57017,0.30999
2,3,0.77212,0.48719,0.14631
2,3,0.59869,0.57249,0.23935
2,3,0.74928,0.45703,0.33318
2,3,0.66389,0.56538,0.28522
2,3,0.72845,0.54995,0.29775
2,3,0.75661,0.52482,0.31625
3,1,0.8524,0.5468,0.3305
3,1,0.58865,0.62047,0.34754
3,1,0.83888,0.60598,0.35462
3,1,0.67205,0.49314,0.35614
3,2,0.73527,0.55075,0.34126
3,2,0.7461,0.51449,0.33657
3,2,0.63975,0.58344,0.26974
3,2,0.76804,0.56649,0.29974
3,2,0.59892,0.5526,0.3389
3,2,0.69522,0.55884,0.33742
3,2,0.76499,0.56218,0.33558
3,2,0.81774,0.50485,0.31036
3,2,0.5236,0.56771,0.34652
3,2,0.72398,0.57808,0.27769
3,2,0.71266,0.57017,0.30999
3,2,0.63623,0.56404,0.33629
3,2,0.72907,0.56813,0.28029
3,3,0.77212,0.48719,0.14631
3,3,0.59869,0.57249,0.23935
3,3,0.70691,0.54203,0.3383
4,1,0.8524,0.5468,0.3305
4,1,0.58865,0.62047,0.34754
4,1,0.83888,0.60598,0.35462
4,1,0.78955,0.53511,0.36558
4,2,0.67205,0.49314,0.35614
4,2,0.73527,0.55075,0.34126
4,2,0.7461,0.51449,0.33657
4,2,0.59892,0.5526,0.3389
4,2,0.69522,0.55884,0.33742
4,2,0.76499,0.56218,0.33558
4,2,0.81774,0.50485,0.31036
4,2,0.5236,0.56771,0.34652
4,2,0.63623,0.56404,0.33629
4,2,0.68194,0.56718,0.32044
4,2,0.55827,0.57244,0.34487
4,2,0.79844,0.59515,0.31765
4,2,0.62279,0.56508,0.32806
4,3,0.63975,0.58344,0.26974
4,3,0.77212,0.48719,0.14631
