lambda1,lambda2,group_count,sample_count_mean,elite_recall_mean,elite_recall_std,elite_recall_min,elite_recall_max,spearman_mean,spearman_std,hv_ratio_mean,hv_ratio_std,topk_overlap_mean,safety_mean,creativity_mean,satisfaction_mean,theta_jitter_mean
0.0,0.0,12,20.0,0.604167,0.099913,0.375,0.75,0.443733,0.149457,1.710936,0.10803,0.604167,0.692285,0.548474,0.637929,0.019488
0.0,1.0,12,20.0,0.614583,0.0949,0.375,0.75,0.5668,0.13571,1.647358,0.092641,0.614583,0.672797,0.528986,0.618441,0.019488
0.0,2.0,12,20.0,0.708333,0.128425,0.5,0.875,0.589117,0.147429,1.585408,0.088885,0.708333,0.653308,0.509497,0.598953,0.019488
0.0,3.0,12,20.0,0.708333,0.117851,0.5,0.875,0.597883,0.14064,1.525791,0.08358,0.708333,0.63382,0.490009,0.579464,0.019488
0.0,4.0,12,20.0,0.625,0.114109,0.5,0.875,0.586467,0.135789,1.473031,0.087336,0.625,0.614332,0.470521,0.559976,0.019488
0.5,0.0,12,20.0,0.614583,0.0949,0.375,0.75,0.471683,0.154304,1.777358,0.11585,0.614583,0.649386,0.503442,0.613542,0.019488
0.5,1.0,12,20.0,0.604167,0.112191,0.375,0.75,0.530325,0.144504,1.718319,0.103405,0.604167,0.629897,0.483954,0.594054,0.019488
0.5,2.0,12,20.0,0.614583,0.119224,0.375,0.75,0.596358,0.136067,1.655457,0.098326,0.614583,0.610409,0.464465,0.574565,0.019488
0.5,3.0,12,20.0,0.604167,0.112191,0.375,0.75,0.574683,0.142163,1.566876,0.088664,0.604167,0.590921,0.444977,0.555077,0.019488
0.5,4.0,12,20.0,0.625,0.102062,0.5,0.875,0.587225,0.150847,1.483207,0.083563,0.625,0.571432,0.425489,0.535589,0.019488
1.0,0.0,12,20.0,0.65625,0.115526,0.5,0.875,0.4322,0.127222,1.844981,0.125763,0.65625,0.606486,0.45841,0.589155,0.019488
1.0,1.0,12,20.0,0.625,0.135015,0.375,0.875,0.539608,0.130017,1.772415,0.113306,0.625,0.586998,0.438922,0.569667,0.019488
1.0,2.0,12,20.0,0.635417,0.129686,0.375,0.875,0.589983,0.134564,1.677847,0.102451,0.635417,0.567509,0.419434,0.550179,0.019488
1.0,3.0,12,20.0,0.625,0.125,0.375,0.875,0.608533,0.131244,1.584961,0.092881,0.625,0.548021,0.399945,0.53069,0.019488
1.0,4.0,12,20.0,0.520833,0.112191,0.375,0.75,0.569042,0.142345,1.503735,0.086453,0.520833,0.528532,0.380456,0.511202,0.019488
1.5,0.0,12,20.0,0.635417,0.107751,0.5,0.875,0.433958,0.117529,1.856708,0.1328,0.635417,0.563587,0.413378,0.564768,0.019488
1.5,1.0,12,20.0,0.635417,0.119224,0.5,0.875,0.475192,0.127497,1.776273,0.120014,0.635417,0.544098,0.39389,0.54528,0.019488
1.5,2.0,12,20.0,0.520833,0.112191,0.375,0.75,0.54875,0.119565,1.691586,0.10919,0.520833,0.52461,0.374401,0.525791,0.019488
1.5,3.0,12,20.0,0.53125,0.115526,0.375,0.75,0.57895,0.126106,1.602724,0.100177,0.53125,0.505121,0.354913,0.506303,0.019488
1.5,4.0,12,20.0,0.53125,0.115526,0.375,0.75,0.585717,0.124506,1.522182,0.09355,0.53125,0.485633,0.335424,0.486815,0.019488
2.0,0.0,12,20.0,0.520833,0.099913,0.375,0.75,0.406142,0.113307,1.849932,0.143581,0.520833,0.520687,0.368346,0.540381,0.019488
2.0,1.0,12,20.0,0.53125,0.103645,0.375,0.75,0.441992,0.124047,1.775634,0.129328,0.53125,0.501199,0.348858,0.520893,0.019488
2.0,2.0,12,20.0,0.53125,0.103645,0.375,0.75,0.512667,0.124727,1.700285,0.11872,0.53125,0.48171,0.329369,0.501404,0.019488
2.0,3.0,12,20.0,0.53125,0.103645,0.375,0.75,0.561667,0.13309,1.620306,0.108125,0.53125,0.462222,0.309881,0.481916,0.019488
2.0,4.0,12,20.0,0.53125,0.103645,0.375,0.75,0.59085,0.119678,1.541752,0.102595,0.53125,0.442733,0.290392,0.462427,0.019488
